# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
0.000000,-3.999969,-2.998328,-0.021704,0.166763,5.848024
0.100121,-3.899857,-2.999665,-0.008350,0.100043,6.008634
0.200259,-3.799720,-3.000000,-0.001671,0.033374,6.165087
0.300398,-3.699580,-3.000000,0.000000,0.000000,6.317670
0.400538,-3.599440,-3.000000,0.000000,0.000000,6.466654
0.500678,-3.499301,-3.000000,0.000000,0.000000,6.612282
0.600818,-3.399161,-3.000000,0.000000,0.000000,6.754772
0.700958,-3.299021,-3.000000,0.000000,0.000000,6.894317
0.801098,-3.198881,-3.000000,0.000000,0.000000,7.031092
0.901238,-3.098741,-3.000000,0.000000,0.000000,7.165258
1.001378,-2.998601,-3.000000,0.000000,0.000000,7.296957
1.101517,-2.898461,-3.000000,0.000000,0.000000,7.426321
1.201657,-2.798321,-3.000000,0.000000,0.000000,7.553470
1.301797,-2.698182,-3.000000,0.000000,0.000000,7.678513
1.401937,-2.598042,-3.000000,0.000000,0.000000,7.801553
1.502077,-2.497902,-3.000000,0.000000,0.000000,7.922682
1.602217,-2.397762,-3.000000,0.000000,0.000000,8.041986
1.702357,-2.297622,-3.000000,0.000000,0.000000,8.159547
1.802497,-2.197482,-3.000000,0.000000,0.000000,8.275438
1.902637,-2.097342,-3.000000,0.000000,0.000000,8.389727
2.002776,-1.997202,-3.000000,0.000000,0.000000,8.502481
2.102916,-1.897062,-3.000000,0.000000,0.000000,8.613759
2.203056,-1.796923,-3.000000,0.000000,0.000000,8.723618
2.303196,-1.696783,-3.000000,0.000000,0.000000,8.832110
2.403336,-1.596643,-3.000000,0.000000,0.000000,8.939286
2.503476,-1.496503,-3.000000,0.000000,0.000000,9.045192
2.603616,-1.396363,-3.000000,0.000000,0.000000,9.149872
2.703756,-1.296223,-3.000000,0.000000,0.000000,9.253368
2.803895,-1.196083,-3.000000,0.000000,0.000000,9.355719
