# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
0.000000,0.000001,0.000002,2.857351,-0.000077,20.000000
0.100004,-0.095991,0.028047,2.857342,-0.000113,20.000000
0.200009,-0.191982,0.056092,2.857329,-0.000153,20.000000
0.300013,-0.287973,0.084139,2.857317,-0.000076,20.000000
0.400017,-0.383963,0.112187,2.857309,-0.000076,20.000000
0.500021,-0.479954,0.140236,2.857298,-0.000147,20.000000
0.600026,-0.575943,0.168286,2.857285,-0.000115,20.000000
0.700030,-0.671933,0.196337,2.857276,-0.000075,20.000000
0.800034,-0.767922,0.224388,2.857267,-0.000105,20.000000
0.900039,-0.863911,0.252441,2.857254,-0.000149,20.000000
1.000043,-0.959900,0.280495,2.857243,-0.000079,20.000000
1.100047,-1.055889,0.308550,2.857235,-0.000074,20.000000
1.200052,-1.151877,0.336606,2.857224,-0.000139,20.000000
1.300056,-1.247865,0.364663,2.857211,-0.000117,20.000000
1.400060,-1.343852,0.392721,2.857202,-0.000074,20.000000
1.500064,-1.439839,0.420780,2.857193,-0.000099,20.000000
1.600069,-1.535826,0.448840,2.857181,-0.000147,20.000000
1.700073,-1.631813,0.476901,2.857169,-0.000082,20.000000
1.800077,-1.727799,0.504963,2.857162,-0.000073,20.000000
1.900082,-1.823786,0.533026,2.857151,-0.000132,20.000000
2.000086,-1.919771,0.561090,2.857139,-0.000119,20.000000
2.100090,-2.015757,0.589155,2.857129,-0.000072,20.000000
2.200094,-2.111742,0.617220,2.857121,-0.000092,20.000000
2.300099,-2.207727,0.645287,2.857109,-0.000143,20.000000
2.400103,-2.303712,0.673355,2.857098,-0.000084,20.000000
2.500107,-2.399696,0.701424,2.857090,-0.000071,20.000000
2.600112,-2.495680,0.729494,2.857080,-0.000124,20.000000
2.700116,-2.591664,0.757564,2.857068,-0.000121,20.000000
2.800120,-2.687648,0.785636,2.857059,-0.000070,20.000000
2.900125,-2.783631,0.813709,2.857051,-0.000086,20.000000
3.000129,-2.879614,0.841782,2.857040,-0.000140,20.000000
3.100133,-2.975596,0.869857,2.857028,-0.000087,20.000000
3.200137,-3.071579,0.897932,2.857020,-0.000070,20.000000
3.300142,-3.167561,0.926009,2.857011,-0.000118,20.000000
3.400146,-3.263543,0.954086,2.856999,-0.000122,20.000000
3.500150,-3.359525,0.982164,2.856990,-0.000068,20.000000
3.600155,-3.455506,1.010244,2.856982,-0.000080,20.000000
3.700159,-3.551487,1.038324,2.856971,-0.000136,20.000000
3.800163,-3.647468,1.066405,2.856960,-0.000089,20.000000
3.900167,-3.743448,1.094487,2.856952,-0.000068,20.000000
4.000172,-3.839428,1.122570,2.856943,-0.000111,20.000000
4.100176,-3.935408,1.150654,2.856932,-0.000124,20.000000
4.200180,-4.031388,1.178739,2.856922,-0.000067,20.000000
4.300185,-4.127368,1.206824,2.856915,-0.000074,20.000000
4.400189,-4.223347,1.234911,2.856905,-0.000133,20.000000
4.500193,-4.319326,1.262998,2.856893,-0.000090,20.000000
4.600198,-4.415304,1.291087,2.856886,-0.000066,20.000000
4.700202,-4.511283,1.319176,2.856877,-0.000104,20.000000
4.800206,-4.607261,1.347266,2.856866,-0.000125,20.000000
4.900210,-4.703239,1.375357,2.856856,-0.000066,20.000000
5.000215,-4.799216,1.403449,2.856849,-0.000068,20.000000
5.100219,-4.895194,1.431542,2.856840,-0.000130,20.000000
5.200223,-4.991171,1.459636,2.856828,-0.000092,20.000000
5.300228,-5.087147,1.487731,2.856821,-0.000064,20.000000
5.400232,-5.183124,1.515826,2.856813,-0.000097,20.000000
5.500236,-5.279100,1.543922,2.856801,-0.000126,20.000000
5.600240,-5.375076,1.572020,2.856792,-0.000064,20.000000
5.700245,-5.471052,1.600118,2.856785,-0.000064,20.000000
5.800249,-5.567028,1.628217,2.856776,-0.000126,20.000000
5.900253,-5.663003,1.656317,2.856765,-0.000094,20.000000
6.000258,-5.758978,1.684418,2.856757,-0.000063,20.000000
6.100262,-5.854953,1.712519,2.856749,-0.000091,20.000000
6.200266,-5.950927,1.740622,2.856739,-0.000125,20.000000
6.300271,-6.046902,1.768725,2.856729,-0.000063,20.000000
6.400275,-6.142876,1.796829,2.856723,-0.000062,20.000000
6.500279,-6.238850,1.824934,2.856714,-0.000119,20.000000
6.600283,-6.334823,1.853040,2.856703,-0.000095,20.000000
6.700288,-6.430796,1.881147,2.856695,-0.000061,20.000000
6.800292,-6.526769,1.909254,2.856688,-0.000085,19.977222
6.900296,-6.622742,1.937362,2.856678,-0.000122,19.929559
7.000301,-6.718715,1.965472,2.856668,-0.000065,19.881782
7.100305,-6.814687,1.993582,2.856662,-0.000061,19.833889
