hand-rolled sac: 116 obs dims, 600000 steps on cuda, 1 env, update every 10 steps, batch 256, 3.0 m/s cap
episode 1 at step 68: reward -9.9 over 68 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 2 at step 183: reward -10.8 over 115 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 3 at step 198: reward -10.4 over 15 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 4 at step 230: reward -10.4 over 32 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 5 at step 309: reward -11.1 over 79 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 6 at step 403: reward -11.6 over 94 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 7 at step 473: reward -11.9 over 70 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 8 at step 489: reward -10.5 over 16 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 9 at step 517: reward -11.3 over 28 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 10 at step 596: reward -11.0 over 79 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 11 at step 674: reward -11.0 over 78 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 12 at step 755: reward -11.2 over 81 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 13 at step 794: reward -11.4 over 39 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 14 at step 827: reward -10.8 over 33 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 15 at step 906: reward -11.8 over 79 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 16 at step 936: reward -10.0 over 30 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 17 at step 960: reward -11.0 over 24 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 18 at step 1020: reward -11.3 over 60 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 19 at step 1078: reward -10.2 over 58 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 20 at step 1151: reward -10.6 over 73 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 21 at step 1171: reward -9.8 over 20 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 22 at step 1297: reward -12.4 over 126 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 23 at step 1340: reward -10.4 over 43 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 24 at step 1395: reward -10.8 over 55 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 25 at step 1613: reward -11.5 over 218 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 26 at step 1655: reward -10.6 over 42 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 27 at step 1776: reward -11.5 over 121 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 28 at step 1826: reward -11.2 over 50 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 29 at step 1872: reward -10.7 over 46 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 30 at step 1899: reward -10.4 over 27 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 31 at step 1930: reward -10.1 over 31 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 32 at step 2003: reward -11.7 over 73 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 33 at step 2024: reward -10.2 over 21 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 34 at step 2071: reward -10.3 over 47 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 35 at step 2126: reward -11.6 over 55 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 36 at step 2187: reward -11.3 over 61 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 37 at step 2205: reward -10.6 over 18 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 38 at step 2280: reward -11.1 over 75 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 39 at step 2306: reward -11.1 over 26 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 40 at step 2411: reward -13.3 over 105 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 41 at step 2440: reward -11.2 over 29 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 42 at step 2468: reward -11.1 over 28 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 43 at step 2568: reward -12.1 over 100 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 44 at step 2635: reward -11.5 over 67 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 45 at step 2800: reward -11.8 over 165 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 46 at step 2925: reward -10.6 over 125 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 47 at step 2994: reward -12.0 over 69 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 48 at step 3060: reward -11.0 over 66 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 49 at step 3145: reward -12.3 over 85 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 50 at step 3185: reward -10.7 over 40 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 51 at step 3257: reward -11.7 over 72 steps, laps 0, collision, alpha 1.0000, 0.0 min
episode 52 at step 3394: reward -12.7 over 137 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 53 at step 3461: reward -11.1 over 67 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 54 at step 3478: reward -11.2 over 17 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 55 at step 3597: reward -11.8 over 119 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 56 at step 3607: reward -9.9 over 10 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 57 at step 3651: reward -11.9 over 44 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 58 at step 3784: reward -13.7 over 133 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 59 at step 3880: reward -11.6 over 96 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 60 at step 3901: reward -10.4 over 21 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 61 at step 3975: reward -10.5 over 74 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 62 at step 4079: reward -12.2 over 104 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 63 at step 4120: reward -10.8 over 41 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 64 at step 4140: reward -10.1 over 20 steps, laps 0, collision, alpha 1.0000, 0.1 min
episode 65 at step 4225: reward -10.8 over 85 steps, laps 0, collision, alpha 1.0000, 0.1 min
